Player,Matches Played,Matches Started,Matches Won,Matches Drawn,Matches Lost,Minutes,Goals,Assists,Clean Sheets,Saves,Shots on Target,Shots off Target,Shots Blocked,Total Shots,Goals x90,Assists x90,G+A x90,Positions Played,GF On Pitch,GA On Pitch,Goal+/-,G + A / GF,GA / Min,Points Earned,Points per Match,Man of the Match,Yellow,Red
Gilles De Vleeschauwer,21,21,14,2,5,1890,0,0,7,48,0,0,0,0,0.00,0.00,0.00,GK,53,21,32,0.00,0.01,44,2.095238095,0,0,0
Vincent Jones,9,7,7,0,2,600,0,2,3,0,2,3,2,7,0.00,0.30,0.30,"LB, CB, RB",16,7,9,0.13,0.01,21,2.333333333,1,0,0
Joris Gerard Bernard Eissens,16,14,10,2,4,1274,2,0,2,0,5,5,2,12,0.14,0.00,0.14,"CB, LB, ST",33,16,17,0.06,0.01,32,2,0,6,0
Arno Van Cauteren,12,5,8,2,3,564,0,0,2,0,0,0,0,0,0.00,0.00,0.00,"CB, RB",16,10,6,0.00,0.02,26,2.166666667,0,1,0
Aron,14,10,11,1,2,862,0,0,3,0,0,0,0,0,0.00,0.00,0.00,CB,26,9,17,0.00,0.01,34,2.428571429,0,2,0
Jorrit,21,21,14,2,5,1726,1,1,4,0,4,4,1,9,0.05,0.05,0.10,"RB, RWB",42,20,22,0.05,0.01,44,2.095238095,2,1,0
Nick,8,4,8,0,0,404,0,0,2,0,0,0,0,0,0.00,0.00,0.00,CB,19,4,15,0.00,0.01,24,3,0,0,0
Wesley Bosch,19,17,12,2,5,1626,11,8,4,0,22,21,16,59,0.61,0.44,1.05,"LW, SS",41,18,23,0.46,0.01,38,2,2,0,0
Frederico Aleixo,14,13,9,2,3,1131,2,1,3,0,8,6,0,14,0.16,0.08,0.24,"LB, 10, LWB",33,12,21,0.09,0.01,29,2.071428571,1,1,0
Ot Zwaenepoel,20,19,14,2,4,1707,0,4,4,0,5,5,3,13,0.00,0.21,0.21,6,50,19,31,0.08,0.01,44,2.2,0,3,0
Jens Kroon,20,19,13,2,5,1724,5,1,3,0,6,5,0,11,0.26,0.05,0.31,"CB, 8, 6",50,19,31,0.12,0.01,41,2.05,3,3,0
Adrián Rodríguez Cuoto,4,3,3,0,1,290,0,1,2,0,1,1,1,3,0.00,0.31,0.31,"10, 8, 6",7,2,5,0.14,0.01,9,2.25,0,0,0
Mateo Koch,15,10,11,1,3,745,1,1,4,0,7,3,4,14,0.12,0.12,0.24,"8, 10",16,11,5,0.13,0.01,34,2.266666667,0,3,0
Martin Garbonov,14,11,9,2,3,1011,2,4,4,0,7,9,2,18,0.18,0.36,0.53,"8, 10",29,9,20,0.21,0.01,29,2.071428571,1,1,0
Mauro Galbis,14,8,8,2,4,788,1,0,2,0,5,10,4,19,0.11,0.00,0.11,"10, SS, RW",18,9,9,0.06,0.01,26,1.857142857,0,1,0
Francesco Ghidini,16,13,10,2,4,1096,10,4,3,0,16,13,14,43,0.82,0.33,1.15,ST,35,11,24,0.40,0.01,32,2,2,3,0
Fernando Mingo Moreno,18,11,12,2,4,1183,5,1,3,0,11,4,2,17,0.38,0.08,0.46,"ST, RW",38,12,26,0.16,0.01,38,2.111111111,0,1,0
Matthijs van Heesch,11,8,8,0,3,664,3,0,3,0,6,8,3,17,0.41,0.00,0.41,RW,18,5,13,0.17,0.01,24,2.181818182,0,2,0
Jose Batista,6,2,3,0,1,180,1,0,1,0,2,2,1,5,0.50,0.00,0.50,RW,4,3,1,0.25,0.02,9,1.5,0,0,0
Klāvs,10,9,6,1,3,803,4,4,1,0,8,10,6,24,0.45,0.45,0.90,"8, LB",21,8,13,0.38,0.01,19,1.9,1,4,1
Jules Busser,2,1,1,1,0,117,1,1,1,0,1,3,1,5,0.77,0.77,1.54,"RW, LW",4,2,2,0.50,0.02,4,2,0,0,0
Atakan Yilmaz,6,4,2,2,2,348,4,0,1,0,6,2,1,9,1.03,0.00,1.03,"RW, RB",9,3,6,0.44,0.01,8,1.333333333,0,0,0
