Player,Number,Primary Position,Second Position,Third Position
Gilles De Vleeschauwer,1,Goalkeeper,,
Vincent Jones,4,Centre Back,Right Back,Centre Defensive Midfielder
Joris Gerard Bernard Eissens,5,Centre Back,Left Back,
Arno Van Cauteren,13,Centre Back,Right Back,
Aron,3,Centre Back,,
Jorrit,2,Right Back,,
Nick,16,Centre Back,Right Back,
Wesley Bosch,11,Left Winger,Centre Attacking Midfielder,Centre Midfielder
Frederico Aleixo,17,Left Back,Centre Attacking Midfielder,Left Winger
Ot Zwaenepoel,6,Centre Defensive Midfielder,Right Back,Centre Back
Jens Kroon,8,Centre Midfielder,Centre Back,Centre Defensive Midfielder
Adri‡n Rodr’guez Cuoto,18,Centre Midfielder,Centre Attacking Midfielder,Centre Defensive Midfielder
Mateo Koch,15,Centre Attacking Midfielder,Centre Midfielder,Right Winger
Martin Garbonov,7,Centre Attacking Midfielder,Centre Midfielder,Right Winger
Mauro Galbis,10,Centre Attacking Midfielder,Right Winger,Striker
Francesco Ghidini,9,Striker,Left Winger,Right Winger
Fernando Mingo Moreno,19,Striker,Left Winger,Right Winger
Matthijs van Heesch,14,Right Winger,Left Winger,
Jose Batista,12,Left Winger,Striker,Right Winger
Kl_vs,20,Centre Attacking Midfielder,Striker,Centre Midfielder
Jules Busser,21,Striker,Left Winger,Centre Attacking Midfielder
Atakan Yilmaz,22,Right Winger,Left Winger,Right Back
